,Unnamed: 0,id,text,sentiment
1,1,1957, медик рассказать состояние пострадавший мужчина который быть совершить нападение возле отделение банка тимирязев как прокомментировать прессслужба управление здравоохранение алматы место происшествие служба скора помощь обратиться двое человек один они место быть оказать медицинский помощь госпитализация он отказаться два пациент быть доставить больница скора неотложный помощь бснп сотрясение головной мозг ушибить рана гол состояние данный момент оцениваться близкий удовлетворительный пока он проходить обследование больница сообщить управление здравоохранение алматы напомнить алматы пересечение улица тимирязев марков возле алатау гранд произойти стрельба ориентировочно обеденный время здание расположить отделение банк втб сбербанк настоящее время полицейский разыскивать подозревать стрельба факт нападение местный управление внутренний дело начать досудебный расследование статья ук разбой создать специальный следственнооперативный группа число опытный сотрудник подразделение криминальный полиция настоящий момент проводиться комплекс оперативный следственный мероприятие направить установление личность нападать они задержание ранее банк втб казахстан прокомментировать нападение мужчина дать прессслужба банка весь отделение банка работать штатный режим применение усиленный мера безопасность сотрудник полиция работать внутри отделение банка втб место происшествие не оцепить,0
2,5,1980, арест бывший министр национальный экономика казахстан куандык бишимбаев срок два месяц сегодня азаттык сообщить прессслужба городской суд астан вчера истечь срок течение который следствие должный предъявить он обвинение процессуальный суд санкционировать мера пресеченияраный сегодня прессслужба национальный бюро противодействие коррупция сообщить что суд алматинский район астан январь отношение куандык бишимбаев избрать мера пресечение аресто задержание бишимбаев подозрение получение взятка стать известно январь он водворить изолятор временной содержание астан антикоррупционный служба заявить что бывший министр задержать факт неоднократный получение взятка особо крупный размер группа лицо предварительный сговоруотставка бишимбаев конец декабрь год связывать он работа должность руководитель холдинг байтерек ноябрь год начаться досудебный антикоррупционный расследование отношение руководство компания байтерек входящая состав национальный холдинг байтерек следователь подозревать топменеджер байтерек получение миллион тенг взятка строительный компания якобы лоббирование они интерес закупка услуга строительство арендный жильё рамка госпрограмма нрло среди арестованный это дело значиться заместитель председатель правление байтерек аслан джакупа сын бывший аким западноказахстанский область бывший спикер мажилиса парламент кабибулла джакуп быть председатель нижний палата апрель год март год,0
3,6,1982, двое налётчик совершить нападение охранник банка центркредит алматы завладеть он оружие сообщать прессслужба алматысегодний центр оперативный управление город алматы поступить сообщение нападение охранник один отделение банка центркредит алмалинский район алматы результат что двое неустановленный лицо завладеть он оружие говориться сообщениипо неподтвержденный дать чрезвычайный происшествие случиться отделение который находиться улица мамет между улица сейфуллин дзержинскогокак информировать ведомство настоящее время город объявить спецплан сирена отрабатываться комплекс оперативный мероприятие который направить розыск задержание преступник,0
4,7,1983, самрукэнерго квартал почти вдвое снизить чистый прибыль мсфо астан май интерфаксказахстан самрукэнерго январемарт год получить чистый прибыль размер миллиард тенг что раз маленький чем первое квартал год говориться консолидированный финотчётность компания мсфо получение полный текст публикация воспользоваться платный подписка,0
5,8,1985, год почти половина коррупционный преступление система вооружённый сила выявить местный орган военный управление они большой всего зарегистрировать взятка выдача военный билет предоставление отсрочка призыв воинский служба это сообщаться ответ прессслужба министерство оборона официальный запрос казинформ всего как отмечать ведомство месяц год вооружённый сила зарегистрировать коррупционный преступление сравнение аналогичный период год данный показатель снизиться факт коррупционный правонарушение несмотря положительный динамик принимать мера продолжать вызывать обеспокоенность уровень коррупция местный орган военный управление который учесть наибольший количество коррупционный преступление есть зарегистрировать вооружённый сила коррупционный преступление что составлять говориться указанный коррупционный преступление факт взяточничество выдача военный билет составить предоставление отсрочка призыв оказание содействие поступление военнотехнический школа оказание содействие трудоустройство уточнять ведомство настоящее время вестись работа устранение причина условие возникновение коррупция орган дело оборона кроме тот министерство оборона разработать проект правило поведение действие военнослужащий вооружённый сила направить предупреждение коррупция вооружённый сила антикоррупционный стандарт тот число оказание государственный услуга выдача военный билет проект разместить сайт министерство оборона тот чтобы люба желающий мочь ознакомиться внести свой предложение заключить миноборона просмотр комментарий,0
6,12,2032, астан ценный бумага который находиться официальный список казахстанский фондовый биржа сообщить привлечение он филиал должностной лицо филиал административный ответственность,0
7,15,2049, завод переработка масличный культура построить ильичёвка всего месяцеваким североказахстанский область ерик султан встретиться китайский делегация который приехать ознакомление инвестиционный потенциал регион сообщать информбюрообласть ежегодно обеспечивать производство порядок тысяча тонна молоко тысяча тонна мясо миллион штука яйцо похвастаться аким мы производить органический экологически чистый продукция сейчас проводиться переговоры между правительство экспорт наш продовольствие китай наш продукция отличать высокий качество конкурентоспособность сказать глава регионанедавно быть дать старт казахстанскокитайский проект компания айцзить запустить тайыншинский район завод переработка масличный культурруководитель постоянный комитет всекитайский собрание народный представитель город сианя провинция шэньсить чэнь баогэнь поблагодарить руководство гостеприимство подчеркнуть что северный регион иметь огромный потенциал доказательство это стать как раз строительство уникальный завод тайыншамай всего месяцевить вы сказать открыто китай такой короткий срок завод не построить я увидеть насколько казахстан лицо ваш область готовый развиваться принимать инвестиция весь поддержка оказать китайский инвестор окупиться многократно отметить чэнь баогэньва завершение встреча сторона подписать меморандум взаимопонимание сотрудничество аким область ерик султан отметить что встреча положить начать успешный плодотворный развитие деловой дружеский отношение между регион,1
8,17,2051, астан казинформ средний показатель поездка велосипед астан составить москва париж санфранциско дать система городской велопрокат средний пользователь система астан проезжать около километр день система астан пользоваться мужчина женщина основный время утро обеденный перерыв час вечер многие пользователь благодаря использование велопрокат отказаться вождение автомашина будний день говорить султанбек сыздык руководитель проект начать сезон астначан проехать более тысяча километр что хронометраж составить более миллион минута это более тысяча прокат настоящее время система зарегистрировать более пользователь сегодня велосипед пользоваться качество составлять транспортный инфраструктура активность отслеживаться утренний время преимущественно правый берег левый домработа вечерний время левый правый берег работад благоприятный погодный условие также высокий показатель использование прокат качество досуг элемент прогулка план проект наладить прокат шымкент алматы первое этап реализация проект год центральный часть левобережье быть установить велостанция велосипед короткий время система успешно реализоваться учитывать высокий потребность дать вид транспорт финансовый поддержка самрукказын год количество велостанция быть расширить парк велосипед сравнение показатель прокат велосезон год прокат раз километраж километр длительность час пользователь человек показатель прокат велосезон год прокат раз километраж километр длительность минута пользователь человек прокат смс,1
9,18,2053, который активно стимулировать казахстанский экспортёр несырьевой продукция освоение новый зарубежный рынок китаец брать весь президент баян сула тимур садык отмечать китайский рынок изобиловать кондитерский компания конкуренция очень высокий однако наш продукция пользоваться спрос причина тот что она натуральный высокий качество сейчас китаец покупать весь ассортимент наш продукция проверять такой образ спрос свой рынок возможно последующий год мы быть ставить акцент определённый продукт наш ассортимент потенциал конечно огромный однако существовать подводный камень такой как различие культура менталитет который влиять китайский потребитель пример китаец нравиться весь что связать дракон счастливый они цифра девять прочий такой нюанс сегодня мы пытаться учесть весь этот тонкость китайский народ выход экспорт требовать увеличение производственный мощность сейчас баян сула интенсивно наращивать производственный мощность ввести эксплуатация бисквитный цех проектный мощность который составлять тысяча тонна,1
10,19,2054, оплачивать без комиссия казахтелек сайт сегодня просмотр,1
